País (ISO-3),País,Región,Grupo de ingreso,Método de estimación,Gasto tributario (% PIB),Año del dato
PAN,Panamá,América,Ingreso alto,Indefinido,3.112013471766658,2022.0
DNK,Dinamarca,Europa,Ingreso alto,Ingreso renunciado,2.693119504838238,2023.0
ROU,Rumanía,Europa,Ingreso alto,Ingreso renunciado,4.750303823501915,2023.0
LVA,Letonia,Europa,Ingreso alto,Ingreso renunciado,7.89010718276948,2023.0
ESP,España,Europa,Ingreso alto,Ingreso renunciado,3.02130052325271,2023.0
EST,Estonia,Europa,Ingreso alto,Ingreso renunciado,1.38774993672488,2024.0
FIN,Finlandia,Europa,Ingreso alto,Ingreso renunciado,12.10803412366207,2024.0
FRA,Francia,Europa,Ingreso alto,Ingreso renunciado,2.732458661848445,2024.0
LUX,Luxemburgo,Europa,Ingreso alto,Ingreso renunciado,1.718851621295178,2024.0
GBR,Reino Unido,Europa,Ingreso alto,Ingreso renunciado,7.28361025468346,2024.0
LTU,Lituania,Europa,Ingreso alto,Ingreso renunciado,4.728741396130292,2023.0
RUS,Rusia,Europa,Ingreso alto,Ingreso renunciado,15.23924498983728,2024.0
SWE,Suecia,Europa,Ingreso alto,Ingreso renunciado,7.506320279177976,2024.0
GRC,Grecia,Europa,Ingreso alto,Ingreso renunciado,7.784797667375675,2023.0
KOR,Corea del Sur,Asia,Ingreso alto,Ingreso renunciado,2.802169155819103,2024.0
SVN,Eslovenia,Europa,Ingreso alto,Ingreso renunciado,4.982551090337205,2022.0
HRV,Croacia,Europa,Ingreso alto,Ingreso renunciado,3.815201966377015,2021.0
HUN,Hungría,Europa,Ingreso alto,Ingreso renunciado,2.373328527627269,2024.0
SVK,Eslovaquia,Europa,Ingreso alto,Ingreso renunciado,2.820119103492317,2024.0
IRL,Irlanda,Europa,Ingreso alto,Ingreso renunciado,0.4425122364457831,2023.0
ISL,Islandia,Europa,Ingreso alto,Ingreso renunciado,3.063602847203268,2024.0
ISR,Israel,Asia,Ingreso alto,Ingreso renunciado,4.244070306013224,2024.0
ITA,Italia,Europa,Ingreso alto,Ingreso renunciado,4.82254194454835,2024.0
CZE,Chequia,Europa,Ingreso alto,Ingreso renunciado,11.68106645938152,2022.0
DEU,Alemania,Europa,Ingreso alto,Ingreso renunciado,0.7873392083172677,2024.0
CYM,Islas Caimán,América,Ingreso alto,Indefinido,0.1120550806451613,2023.0
NZL,Nueva Zelanda,Oceanía,Ingreso alto,Ingreso renunciado,1.10624060514959,2023.0
NOR,Noruega,Europa,Ingreso alto,Ingreso renunciado,4.645973009109185,2024.0
AUS,Australia,Oceanía,Ingreso alto,Ingreso renunciado,8.078594598963289,2024.0
AUT,Austria,Europa,Ingreso alto,Ingreso renunciado,3.615896946725981,2023.0
NLD,Países Bajos,Europa,Ingreso alto,Ingreso renunciado,14.6030402426551,2024.0
USA,Estados Unidos,América,Ingreso alto,Ingreso renunciado,5.489074829792118,2024.0
BEL,Bélgica,Europa,Ingreso alto,Ingreso renunciado,5.942769343971399,2022.0
URY,Uruguay,América,Ingreso alto,Ingreso renunciado,6.78290233881781,2023.0
POL,Polonia,Europa,Ingreso alto,Ingreso renunciado,5.205658387204933,2018.0
BGR,Bulgaria,Europa,Ingreso alto,Ingreso renunciado,1.176424314781923,2023.0
CYP,Chipre,Europa,Ingreso alto,Ingreso renunciado,3.16008294805548,2022.0
PRI,Puerto Rico,América,Ingreso alto,Ingreso renunciado,21.62211311147482,2024.0
CAN,Canadá,América,Ingreso alto,Ingreso renunciado,6.089937270184865,2022.0
CHE,Suiza,Europa,Ingreso alto,Ingreso renunciado,3.402709510332741,2019.0
CHL,Chile,América,Ingreso alto,Ingreso renunciado,2.03096945976599,2024.0
PRT,Portugal,Europa,Ingreso alto,Ingreso renunciado,6.429160617042958,2023.0
CRI,Costa Rica,América,Ingreso alto,Ingreso renunciado,4.624923437899952,2022.0
TWN,Taiwán,Asia,Ingreso alto,Ingreso renunciado,2.300406085673211,2024.0
JPN,Japón,Asia,Ingreso alto,Ingreso renunciado,1.808893280632411,2018.0
MUS,Mauricio,África,Ingreso medio alto,Ingreso renunciado,3.750617214912664,2024.0
MNG,Mongolia,Asia,Ingreso medio alto,Ingreso renunciado,1.457046093559369,2024.0
MKD,Macedonia del Norte,Europa,Ingreso medio alto,Ingreso renunciado,5.030429811203439,2024.0
MEX,México,América,Ingreso medio alto,Ingreso renunciado,4.186508277006755,2024.0
ZAF,Sudáfrica,África,Ingreso medio alto,Ingreso renunciado,3.962101402969957,2022.0
MDA,Moldavia,Europa,Ingreso medio alto,Ingreso renunciado,5.401031119757512,2022.0
PRY,Paraguay,América,Ingreso medio alto,Ingreso renunciado,1.398057578910857,2022.0
MDV,Maldivas,Asia,Ingreso medio alto,Ingreso renunciado,7.692702119057715,2023.0
ALB,Albania,Europa,Ingreso medio alto,Ingreso renunciado,4.730481102784524,2022.0
JAM,Jamaica,América,Ingreso medio alto,Ingreso renunciado,3.068905102811006,2022.0
ARG,Argentina,América,Ingreso medio alto,Ingreso renunciado,3.416989914113876,2024.0
ARM,Armenia,Asia,Ingreso medio alto,Ingreso renunciado,6.729107923261155,2024.0
AZE,Azerbaiyán,Asia,Ingreso medio alto,Indefinido,4.940506206881753,2021.0
UKR,Ucrania,Europa,Ingreso medio alto,Ingreso renunciado,1.777906572117354,2023.0
BRA,Brasil,América,Ingreso medio alto,Ingreso renunciado,4.36223574992286,2024.0
TUR,Türkiye,Europa,Ingreso medio alto,Ingreso renunciado,0.005091798159063324,2024.0
TON,Tonga,Oceanía,Ingreso medio alto,Ingreso renunciado,5.269630997663551,2024.0
SLV,El Salvador,América,Ingreso medio alto,Ingreso renunciado,3.498668832899635,2017.0
CPV,Cabo Verde,África,Ingreso medio alto,Ingreso renunciado,4.162127523229733,2024.0
COL,Colombia,América,Ingreso medio alto,Ingreso renunciado,8.77369604215681,2022.0
DZA,Argelia,África,Ingreso medio alto,Ingreso renunciado,1.39440565878463,2024.0
ECU,Ecuador,América,Ingreso medio alto,Ingreso renunciado,4.767844024202002,2023.0
GAB,Gabón,África,Ingreso medio alto,Ingreso renunciado,0.877281294566457,2022.0
GEO,Georgia,Asia,Ingreso medio alto,Ingreso renunciado,7.33432241632976,2023.0
PER,Perú,América,Ingreso medio alto,Ingreso renunciado,2.19812019682645,2024.0
GTM,Guatemala,América,Ingreso medio alto,Ingreso renunciado,2.118004913768529,2023.0
IDN,Indonesia,Asia,Ingreso medio alto,Ingreso renunciado,1.806340170208507,2024.0
DOM,República Dominicana,América,Ingreso medio alto,Ingreso renunciado,4.843691990560443,2024.0
TJK,Tayikistán,Asia,Ingreso medio bajo,Ingreso renunciado,10.81562024031139,2022.0
TUN,Túnez,África,Ingreso medio bajo,Ingreso renunciado,4.595784446884753,2022.0
TZA,Tanzania,África,Ingreso medio bajo,Ingreso renunciado,1.63388516398573,2023.0
PNG,Papúa Nueva Guinea,Oceanía,Ingreso medio bajo,Ingreso renunciado,1.671051085256601,2023.0
PHL,Filipinas,Asia,Ingreso medio bajo,Ingreso renunciado,2.21069826467206,2023.0
SEN,Senegal,África,Ingreso medio bajo,Ingreso renunciado,6.228181316895093,2021.0
SWZ,Esuatini,África,Ingreso medio bajo,Ingreso renunciado,0.6622231578836912,2024.0
KEN,Kenia,África,Ingreso medio bajo,Ingreso renunciado,3.379246479371969,2023.0
NIC,Nicaragua,América,Ingreso medio bajo,Ingreso renunciado,4.989899818321534,2022.0
BEN,Benín,África,Ingreso medio bajo,Ingreso renunciado,1.615895291958877,2023.0
BGD,Bangladesh,Asia,Ingreso medio bajo,Ingreso renunciado,6.159205240253835,2022.0
BTN,Bután,Asia,Ingreso medio bajo,Ingreso renunciado,2.11079998908615,2022.0
CIV,Costa de Marfil,África,Ingreso medio bajo,Ingreso renunciado,0.9490719038920281,2024.0
CMR,Camerún,África,Ingreso medio bajo,Ingreso renunciado,1.503561171586642,2023.0
EGY,Egipto,África,Ingreso medio bajo,Ingreso renunciado,4.339028112845256,2023.0
GHA,Ghana,África,Ingreso medio bajo,Ingreso renunciado,0.5221064086650457,2024.0
PAK,Pakistán,Asia,Ingreso medio bajo,Ingreso renunciado,4.620916566139087,2023.0
HND,Honduras,América,Ingreso medio bajo,Ingreso renunciado,6.501029765723866,2023.0
IND,India,Asia,Ingreso medio bajo,Ingreso renunciado,0.1126362023615263,2024.0
GIN,Guinea,África,Ingreso medio bajo,Ingreso renunciado,1.764747766677477,2023.0
ZMB,Zambia,África,Ingreso medio bajo,Ingreso renunciado,1.553320201074262,2023.0
NGA,Nigeria,África,Ingreso medio bajo,Ingreso renunciado,0.97631737907783,2024.0
LKA,Sri Lanka,Asia,Ingreso medio bajo,Ingreso renunciado,3.526065142707095,2023.0
MAR,Marruecos,África,Ingreso medio bajo,Ingreso renunciado,2.081320815797993,2024.0
MRT,Mauritania,África,Ingreso medio bajo,Ingreso renunciado,2.176617199963742,2022.0
JOR,Jordania,Asia,Ingreso medio bajo,Ingreso renunciado,9.058736683649839,2022.0
BDI,Burundi,África,Ingreso bajo,Ingreso renunciado,1.596687308963466,2024.0
BFA,Burkina Faso,África,Ingreso bajo,Ingreso renunciado,1.509352449201216,2023.0
UGA,Uganda,África,Ingreso bajo,Ingreso renunciado,1.535669438228956,2023.0
NER,Níger,África,Ingreso bajo,Ingreso renunciado,3.971164108176508,2023.0
SOM,Somalia,África,Ingreso bajo,Indefinido,0.1167303734195825,2022.0
COD,"Congo, Rep. Dem.",África,Ingreso bajo,Ingreso renunciado,3.62048803584769,2023.0
TGO,Togo,África,Ingreso bajo,Ingreso renunciado,2.599878703801219,2023.0
TCD,Chad,África,Ingreso bajo,Ingreso renunciado,0.103152171808821,2022.0
RWA,Ruanda,África,Ingreso bajo,Ingreso renunciado,3.41008059665584,2023.0
LBR,Liberia,África,Ingreso bajo,Ingreso renunciado,4.154773439726418,2021.0
SLE,Sierra Leona,África,Ingreso bajo,Ingreso renunciado,1.424269319042301,2023.0
MLI,Malí,África,Ingreso bajo,Ingreso renunciado,2.349009220911942,2023.0
MDG,Madagascar,África,Ingreso bajo,Ingreso renunciado,4.194876665038342,2023.0
DESCRIPCIÓN,"Para cada país se toma el último valor no nulo y distinto de cero del gasto tributario como porcentaje del PIB (RF % of GDP) dentro del período 2017–2023, según la GTED. La clasificación de ingresos proviene del Banco Mundial (Country and Lending Groups). La muestra incluye únicamente países con información disponible en ambas bases.",,,,,
LECTURA,"Honduras registra 6.5 % del PIB en gasto tributario, una proporción comparable a economías de ingresos altos como Portugal y Armenia, y casi triple del promedio de países de ingreso medio-bajo (~2 %). En América ocupa la cuarta posición.",,,,,
VISUALIZACIÓN,https://public.flourish.studio/visualisation/26648679/,,,,,
NOTA,Países con valor cero para todos los años se excluyen del análisis.,,,,,
Para consultas: gabriela@sendas.org · econ@sendas.org  |  sendas.org,,,,,,
