Año,Tipo de impuesto,Régimen,Gasto tributario (millones USD),Descripción del régimen
2023,Impuesto sobre la Renta de Personas Jurídicas,ZOLI (Zona Libre Honduras),195.1643077924191,Régimen para empresas industriales y comerciales orientadas a la exportación; gozan de exoneración total del ISR por tiempo indefinido bajo la Ley de Zonas Libres (Decreto 356-76).
2023,Impuesto sobre la Renta de Personas Jurídicas,Energía Renovable,69.09061330730438,Proyectos de generación eléctrica con fuentes renovables reciben exoneraciones de ISR (generalmente por 10-15 años) para promover la transición energética nacional.
2023,Impuesto sobre la Renta de Personas Jurídicas,Alianza Público Privada,27.98926305514885,Proyectos bajo este modelo pueden recibir beneficios fiscales específicos establecidos en sus contratos de concesión para viabilizar obras de infraestructura pública.
2023,Impuesto sobre la Renta de Personas Jurídicas,Cooperativas,16.32910362778591,"Entidades sin fines de lucro basadas en la ayuda mutua; exentas de ISR por considerar sus excedentes como ""actos cooperativos"" bajo la Ley de Cooperativas de Honduras."
2023,Impuesto sobre la Renta de Personas Jurídicas,ZOLITUR (Zona Libre Turística de Islas de la Bahía),14.28745729624207,Régimen especial para promover el turismo en la zona; las empresas están exentas del ISR y otros impuestos aduaneros por tiempo limitado.
2023,Impuesto sobre la Renta de Personas Jurídicas,Fomento Al Turismo,14.28339027167724,Empresas nuevas o de expansión que invierten en servicios turísticos reciben exoneración de ISR por hasta 10-15 años bajo la Ley de Fomento al Turismo (Decreto 68-2017).
2023,Impuesto sobre la Renta de Personas Jurídicas,Asociaciones sin fines de lucro,13.10802017244184,"Organizaciones dedicadas a salud, educación o asistencia social que reinvierten sus ingresos en su objeto social."
2023,Impuesto sobre la Renta de Personas Jurídicas,ONG/Iglesias,12.2702131120872,"Instituciones religiosas (Católica, Evangélica y otras registradas) y ONGs están exentas de ISR sobre diezmos, ofrendas e ingresos destinados a fines religiosos y sociales."
2023,Impuesto sobre la Renta de Personas Jurídicas,RIT,9.557507727346673,Régimen de Importación Temporal: beneficio para empresas que importan insumos para exportar productos terminados; se les otorga exoneración de ISR por 10 años sobre utilidades de exportación.
2023,Impuesto sobre la Renta de Personas Jurídicas,Asociaciones Civiles,6.787863998698553,"Organizaciones formadas para fines culturales, deportivos o científicos que no persiguen lucro personal para sus miembros."
2023,Impuesto sobre la Renta de Personas Jurídicas,Sector Social De La Economía,6.006995282251506,Empresas de trabajadores o campesinos con beneficios fiscales para fortalecer la economía popular y reducir la pobreza.
2023,Impuesto sobre la Renta de Personas Jurídicas,Fideicomisos,4.957702944525786,Los rendimientos de ciertos fideicomisos (especialmente de interés público o vivienda) pueden estar exentos de ISR para fomentar el ahorro e inversión.
2023,Impuesto sobre la Renta de Personas Jurídicas,OPDF,4.02228729461526,Organizaciones Privadas de Desarrollo Financiero: entidades de microfinanzas sin fines de lucro que reciben beneficios para facilitar el crédito a sectores desfavorecidos.
2023,Impuesto sobre la Renta de Personas Jurídicas,MYPES,3.139742964047503,"Micro y Pequeñas Empresas: beneficiadas por la Ley de Apoyo a la MYPE, que otorga exoneración de ISR por un período determinado (comúnmente 3-5 años) para formalizar nuevos negocios."
2023,Impuesto sobre la Renta de Personas Jurídicas,Colegios Profesionales,2.42394664063771,Organizaciones de profesionales legalmente constituidas que están exentas sobre sus cuotas y rentas destinadas a fines previsionales y gremiales.
2023,Impuesto sobre la Renta de Personas Jurídicas,ZADE (Zonas agrícolas de exportaciones),1.301447860745079,"Régimen de incentivos para el sector agroindustrial orientado a mercados internacionales, con beneficios similares al RIT o ZOLI."
2023,Impuesto sobre la Renta de Personas Jurídicas,ZOLT,1.260777615096795,Zona Libre de Trujillo: régimen similar a ZOLI pero ubicado específicamente en la zona de Trujillo para fomentar el polo de desarrollo nororiental.
2023,Impuesto sobre la Renta de Personas Jurídicas,Otros Exonerados,1.081828534244347,"Leyes Especiales: incluye beneficiarios por tratados internacionales, misiones diplomáticas y leyes de emergencia específicas dictadas por el Congreso."
2023,Impuesto sobre la Renta de Personas Jurídicas,Call Center,0.2562225475841874,Servicios de Tercerización (BPO): empresas de centros de llamadas y servicios digitales que gozan de exoneración de ISR por hasta 20 años para incentivar el empleo joven.
2023,Impuesto sobre la Renta de Personas Jurídicas,LIT,0.2236863510655604,Libre Instalación de Tiendas: beneficio bajo regímenes especiales de turismo o zonas libres que permite la operación comercial libre de gravámenes de renta.
DESCRIPCIÓN,"Desagregación del gasto tributario en ISR de personas jurídicas para 2023, por régimen beneficiario, excluyendo al Estado como beneficiario directo. La granularidad se obtiene del campo ""TE name (original language)"" del GTED, tomando el descriptor que sigue al último guión. Las descripciones de cada régimen provienen de la tabla auxiliar ISRPJ_Descripción.xlsx, construida por Sendas a partir del marco legal hondureño.",,,
LECTURA,"Los incentivos se concentran en los regímenes de Zonas Libres (ZOLI) y Energía Renovable, que representan aproximadamente 264 millones de dólares (cerca del 65 % del total del ISRPJ). La evidencia disponible es descriptiva y no permite saber si estos incentivos realmente generan más inversión, empleo o exportaciones.",,,
VISUALIZACIÓN,https://public.flourish.studio/visualisation/28006279/,,,
NOTA,Los regímenes están ordenados de mayor a menor gasto tributario. El total no coincide con el ISRPJ agregado de la Figura 4 porque aquí se excluye al Estado como beneficiario directo.,,,
Para consultas: gabriela@sendas.org · econ@sendas.org  |  sendas.org,,,,
